trait,attribute,family
talgtl ratio in females,between 0.17 and 0.18,viperidae
occipital scales,smooth or weakly keeled,viperidae
temporal scales,large,viperidae
supraciliary scales,"two to three very enlarged erect, hornlike",viperidae
size,larger,viperidae
tl,643mm,viperidae
maximum transverse head scales,max. 28,viperidae
suprarostral scales,four subequal,viperidae
dorsal scale microdermatoglyphic pattern,presence of papillae-like ridges,viperidae
black marking location,"across the frontal part of the mouth, including part of nasal, rostral, mental and few infralabial scales",viperidae
genetic divergence of mitochondrial gene cytochrome b,is 3.18%,viperidae
dorsalia,27,viperidae
ventralia,166,viperidae
sub caudalia,"33, simple",viperidae
prälacunale and supralabiale relationship,separated,viperidae
kopf shape,langgezogen und dreieckig,viperidae
internasalia,"viel länger als breit, bogenförmig",viperidae
canthalia and supraocularia relationship,bordering,viperidae
präokularia,2,viperidae
postocularia,3,viperidae
suboculare,schmal,viperidae
labialschilder,"12 lower, 9 upper",viperidae
gularia,one pair,viperidae
gl,570 mm + 65 mm,viperidae
zähne im palatinum and ptergyoid,2 and 11 respectively,viperidae
grundfärbung,graubraun,viperidae
vertebrallinie,feinen hellen,viperidae
flecken,dunkelbraunen,viperidae
kopfoberseite,dunklen zone,viperidae
oberlippen und kopfunterseite,aufgehellt,viperidae
bauch,hell,viperidae
schwanz,"heller als übriger körper, ohne zeichnung",viperidae
size,medium-sized,viperidae
shape,blotched,viperidae
head,relatively long,viperidae
canthal ridge,"distinct, raised",viperidae
canthals,typically two,viperidae
frontal plate size,large,viperidae
distance between supraoculars,53-90% (x = 63.53%),viperidae
supraoculars,broad,viperidae
nasal,divided,viperidae
prefoveals,0-3,viperidae
prelacunal,single,viperidae
lacunolabials,absent,viperidae
loreal,single,viperidae
subfoveals,0-2,viperidae
preoculars,three,viperidae
supralabials,"8-10, typically 9 or 10",viperidae
infralabials,"9-12, typically 10 or 11",viperidae
ventrals,134-146 (x = 138.89),viperidae
undivided subcaudals,25-34 (x = 29.62),viperidae
sexual dimorphism,no significant,viperidae
 cloacal scute,undivided,viperidae
tail,relatively short and non-prehensile,viperidae
middorsal scale rows,typically 21,viperidae
head,relatively long,viperidae
canthal ridge,distinct and raised,viperidae
canthals,typically two,viperidae
frontal plate,no adjective,viperidae
supraoculars,broad,viperidae
nasal,divided,viperidae
prefoveals,1–4,viperidae
prelacunal,single,viperidae
lacunolabials,absent,viperidae
loreal,single,viperidae
subfoveals,0–2,viperidae
preoculars,three,viperidae
supralabials,"7–11, typically 9",viperidae
infralabials,"10–12, typically 11",viperidae
ventrals,137–151,viperidae
subcaudals,23–36,viperidae
cloacal scute,undivided,viperidae
tail,relatively short and non-prehensile,viperidae
middorsal scale rows,21,viperidae
scales that contact the supraoculars,averaging 9,viperidae
median frontal scale,often quite small,viperidae
frontal scale,greatly reduced to the size of a normal head scale,viperidae
frontal plate,"small, occupies an average of 36% of the distance between the supraoculars",viperidae
adult size (males),388-475 mm,viperidae
scales at intersupraocular row,"few and larger, range 3-6",viperidae
ventral scales (males),182-190,viperidae
ventral scales (females),185-192,viperidae
subcaudal scales (males),54-61,viperidae
anterior cephalic scales,"range 20-44, generally rounded and with no or feeble keels",viperidae
hemipenis,"few diminutive ossified spines bordering calyces, intersulcar region nude",viperidae
intersupraocular scales,three–six,viperidae
tail length in males (ratio tl/svl),0.169 + 0.010,viperidae
tail length in females (ratio tl/svl),0.146 + 0.016,viperidae
head length in males (ratio hl/tr),0.057 + 0.004,viperidae
head length in females (ratio hl/tr),0.061 + 0.008,viperidae
color pattern,brownish,viperidae
anterior cephalic scales,"20–44, lower",viperidae
adult size in males,svl = 388–475 mm,viperidae
ventral scales (males),182–190,viperidae
ventral scales (females),185–192,viperidae
subcaudal scales in males,54–61,viperidae
subcaudal scales in females,48–54,viperidae
cytb haplotype,most common,viperidae
svl,"medium-sized, 70–100 cm, rarely to 130 cm",viperidae
internasal scales,"two, large, triangular",viperidae
prefrontals,"two, large",viperidae
frontal scales,"two, large",viperidae
prefoveals,6– 10,viperidae
loreals,2–4,viperidae
preoculars,two,viperidae
postoculars,five,viperidae
intersupraoculars,2–7,viperidae
supralabials,16–18,viperidae
infralabials,14–21,viperidae
dorsal scale rows at midbody,23–29,viperidae
ventrals,164–205,viperidae
subcaudals,16–30 (16–26 in females and 21–30 in males),viperidae
internasal–prefrontal region and supraoculars color,black or dark brown,viperidae
dorsal pattern color,dark pigmentation,viperidae
dorsal body blotches,"22– 33 (mean 5 29), rhomboid, often coalesce with lateral blotches at midbody to form bands or chevrons",viperidae
medial spots on anterior portion of body,"light, longer than wide",viperidae
medial spots at midbody,broader,viperidae
medial spots on posterior one-quarter of body,indistinguishable from ground color,viperidae
paravertebral spots within each dorsal blotch,"two, white or light grey, irregular",viperidae
tail color,"black or dark brown, faint crossbands sometimes visible",viperidae
proximal rattle segment color,black or dark brown,viperidae
ground color,"gray, olive-green, olive-brown, or tan",viperidae
dorsal blotches,"22–33, rhombic",viperidae
medial spot,"light gray, white, or pale yellow",viperidae
anterior dorsal blotches,"connected by 1–3 scale rows, resembling paravertebral stripes or a thick dorsal stripe",viperidae
number of dorsal scale rows at midbody,higher(in comparison with c. m. nigrescens and c. m. oaxacus),viperidae
ventrals (in comparison with c. m. nigrescens and c. m. oaxacus),up to 205,viperidae
dorsal blotches,"relatively dark, bold contrast with the ground color",viperidae
head pigmentation,"dark, internasal-prefrontal area",viperidae
size (compared to c. totonacus),"smaller, rarely to 130 cm",viperidae
dorsal blotch pattern (compared to c. totonacus),interconnected but usually distinct,viperidae
vertebral ridge (compared to c. totonacus),lack of a vertebral ridge,viperidae
bothriechis aurifer,"green, black-bordered yellow blotches on green background and prominent black postocular stripe",viperidae
bothriechis bicolor,"19 dorsal scales at midbody, fused prelacunal and second supralabial scales",viperidae
bothriechis lateralis,"19 dorsal scale rows at midbody, green adult color patter with pale paravertebral bars and paraventral stripe, juvenile color pattern with brown or green with blue dorsal blotching or brown with pale paraventral stripe and short unicolor dark blotches",viperidae
bothriechis marchi,"fused prelacunal and second supralabial scales, 60–63 subcaudals in females",viperidae
bothriechis nigroviridis,"patternless green adult color pattern, green with pale blue blotches juvenile color pattern or brown with pale paraventral stripe and a series of short darker dorsal blotches juvenile color pattern, pale green or pale gray or pale tan iris color, 162–166 and 158–166 ventral scales in both sexes, 60–68 and 60–63 subcaudal scales in both sexes, fused prelacunal and second supralabial scales",viperidae
bothriechis rowleyi,"fused prelacunal and second supralabial scales, pale green or pale gray or pale tan iris color, green juvenile color pattern with pale blue blotches or brown with pale paraventral stripe and a series of short darker dorsal blotches",viperidae
bothriechis schlegelii,"10–12, usually 10 supralabial scales, 19 midbody dorsal scale rows, green adult color pattern",viperidae
bothriechis supraciliaris,"19 midbody dorsal scale rows, 162–166 and 158–166 ventral scales in both sexes, 60–68 and 60–63 subcaudal scales in both sexes, green adult color pattern",viperidae
bothriechis thalassinus,"19 midbody dorsal scale rows, fused prelacunal and second supralabial scales",viperidae
light areas of ground color,conspicuous,viperidae
cheek stripe,dark chestnut brown,viperidae
bases of crossbands,dark chestnut brown,viperidae
ventrolateral spots,dark chestnut brown,viperidae
ventral scutes,white,viperidae
belly,light along the midline,viperidae
white markings,"numerous, irregularly distributed",viperidae
light lines on sides of head's width,relatively narrow,viperidae
upper light line on the sides of head's width,especially narrow,viperidae
lower light line on the sides of head's width,extending across the centers of the supralabials anteriorly then descending to their lower margins posteriorly,viperidae
white areas on supralabials,does not extend over the greater part,viperidae
light line on the supralabials,narrow,viperidae
number of subcaudals,higher,viperidae
solenoglyph teeth,2 large,viperidae
loreal pit,no adjective,viperidae
dorsal head,covered with very small scales,viperidae
body and tail,"elongated, thin and cylindrical",viperidae
dsr at midbody,25,viperidae
dsr,25-25-19,viperidae
transverse bands,distinct,viperidae
body size (tl),up to 1510 mm,viperidae
dorsal scales,weakly keeled,viperidae
ventral scales,198–216,viperidae
subcaudal scales,65–76 pairs,viperidae
supralabials,7–8,viperidae
infralabials,11-13,viperidae
dorsal head color,uniform dark brown,viperidae
postocular streak color,"reddish- brown, obscure",viperidae
dorsal body and tail color,olive,viperidae
transverse bands,black edged red-brown,viperidae
eye color,"bright brown, reddish brown or mildly brown",viperidae
viperid snake,medium-sized,viperidae
body length,up to 980 mm,viperidae
head,"well demarcated, noticeably flattened, covered with symmetrical shields, with slightly rounded short snout",viperidae
nostril,in a single nasal,viperidae
loreal,present,viperidae
eye,"relatively small, with vertical pupil",viperidae
body,"nearly round in cross-section, slightly flattened dorsoventrally, ventrals rounded",viperidae
scales,smooth,viperidae
rows around the middle of the body,17,viperidae
subcaudals,in two rows,viperidae
ventrals,183-199,viperidae
anal,entire,viperidae
subcaudals,49-51 pairs,viperidae
upper surface of head,white,viperidae
